How easy was it to locate the course registration or login option on the Swayam home page?,How clearly was the login page layout organized and understandable?,"How easy was it to choose and use your preferred login method (e.g., Google, Microsoft, etc.)?",How confident were you that your login was successful after clicking “Sign In”?,How easy was it to navigate from the login page to your profile or course dashboard?,How easy was it to find and understand your enrolled or available courses on the profile page?,How easy was it to locate the course or assignment link on the Swayam platform?,How intuitive was the left hand navigation panel for finding the weekly assignments?,How quickly were you able to identify the correct 'Week Assignment' link on the course page?,How clear was the layout of the Assignment/Quiz page once it opened?,How comfortable did you feel navigating between questions and the submit button on the assignment page?,How consistent did you find the interface design across all pages?,How well did the system guide you step-by-step from login to assignment completion?,How easy it was to locate and access the “My Courses” section from the main NPTEL entry page?,The “My Courses” page displayed my enrolled courses clearly and made it simple to open one.,"I was able to quickly identify and select the correct course video (e.g., Week lecture) from the course page.",The left navigation panel (Week/Module list) on the course page was intuitive to use.,"The video playback page layout (player, transcript, Q&A) was visually clear and easy to understand.","I could easily control video playback actions (play, pause, seek, full screen) without confusion.",The transition from course page to video playback felt smooth and consistent in design.,I was able to focus on the video content without distraction from other elements on the page.,It was easy to locate the “Explore Courses” option on the entry page.,The course listing layout helped me quickly scan and compare multiple courses.,The filter and search tools on the course list were clear and easy to use.,I could identify the most relevant course titles without much effort.,The transition from the list to the course-details page felt smooth and intuitive.,"The course-details page presented essential information (overview, syllabus, instructor) in an organized way.",I could easily locate the “Enroll” or “Start Learning” button on the details page.,The platform allowed me to explore courses efficiently without confusion or distraction.,Overall how good was the platform?
3,3,2,2,4,1,1,2,4,4,3,3,1,2,1,4,4,2,2,2,5,3,4,3,4,3,2,5,4,2
4,5,2,1,3,2,3,2,2,2,2,4,3,3,1,3,1,2,3,1,2,2,5,5,1,4,4,2,3,2
4,2,1,2,2,2,2,1,5,1,4,4,4,5,1,2,1,3,4,5,2,2,5,4,4,3,3,2,4,2
2,5,1,3,2,4,4,5,4,2,2,5,3,1,5,4,1,4,4,4,5,3,3,4,1,1,5,2,3,3
2,2,3,5,3,1,2,1,5,2,2,1,3,5,3,4,1,1,4,1,3,2,1,3,5,1,5,3,4,2
1,5,1,5,4,2,1,4,1,4,4,2,2,2,2,1,2,4,2,4,5,4,3,2,5,2,3,3,4,2
3,4,5,2,5,1,5,1,5,2,5,1,3,5,1,2,1,2,2,4,2,1,1,5,5,2,1,1,5,3
4,4,2,4,1,4,3,2,4,4,3,1,1,5,2,2,4,2,2,4,3,4,1,3,3,4,1,1,4,2
4,5,2,5,2,4,1,5,2,5,2,4,3,1,1,4,1,2,3,2,1,4,4,4,5,1,3,2,5,3
3,1,4,1,2,4,3,4,3,5,3,1,1,4,1,2,1,2,3,1,3,5,1,1,2,5,3,4,1,2
4,1,4,1,5,2,1,2,1,1,3,2,2,5,1,2,1,3,2,1,1,5,1,4,5,3,2,4,5,2
1,5,5,1,1,4,1,4,1,4,2,1,1,1,3,1,5,4,2,5,4,4,1,4,3,5,3,4,2,2
1,1,5,4,2,4,1,1,3,4,5,4,2,5,3,5,1,1,1,5,1,5,4,1,5,1,1,3,2,2
2,1,4,1,2,3,3,4,2,4,4,2,2,3,3,1,3,1,3,5,3,4,2,5,5,5,4,4,3,2
5,5,3,1,1,2,1,2,1,5,1,4,2,1,4,5,4,5,3,4,1,5,4,2,2,4,1,5,2,3
1,2,5,2,3,5,1,4,2,4,1,1,4,5,5,4,3,1,2,4,2,3,1,3,2,1,1,3,2,2
1,3,1,1,1,3,5,2,2,2,2,4,2,4,5,5,3,4,5,4,2,1,1,5,3,2,2,2,5,2
4,5,2,3,1,5,3,3,3,2,5,3,4,1,2,5,1,1,5,2,2,3,1,1,1,1,1,4,2,2
1,1,3,5,2,1,2,3,1,5,4,2,5,2,1,5,5,2,3,1,4,4,4,3,4,3,5,1,3,2
3,3,1,2,5,1,4,4,3,1,1,2,1,1,1,1,5,4,1,4,1,3,1,1,1,3,3,2,4,1
4,4,3,3,3,2,3,1,5,2,4,5,3,5,3,1,1,1,5,3,2,3,2,5,5,1,4,2,1,3
5,1,2,1,3,3,2,1,1,5,5,5,3,3,4,4,3,2,3,1,1,4,5,1,1,1,4,2,2,2
1,5,3,4,4,1,5,3,4,2,5,5,3,1,5,5,3,3,2,1,5,3,2,4,1,1,2,3,2,3
1,2,2,3,3,5,5,2,5,3,1,2,4,5,2,1,1,1,4,3,3,4,5,4,1,3,5,4,2,3
2,5,1,3,1,5,1,1,2,2,3,2,2,3,3,5,3,3,4,1,4,5,2,1,2,2,3,5,3,2
1,2,4,2,3,4,2,4,2,1,2,3,1,5,3,1,5,5,1,1,2,3,4,3,4,1,4,5,3,2
3,2,5,1,2,1,5,3,5,4,3,3,2,3,4,5,3,5,5,3,3,1,2,5,1,2,4,2,5,3
4,1,2,4,5,5,5,1,4,1,1,4,3,4,5,1,3,5,3,3,3,5,1,5,5,5,3,3,2,4
2,5,3,4,1,4,4,5,1,3,3,3,1,3,2,4,2,3,4,1,4,4,1,1,5,2,5,3,2,3
2,4,1,3,2,1,2,3,4,1,5,5,4,5,3,5,4,3,1,3,5,5,3,2,4,1,1,3,5,3
2,3,2,3,1,3,3,2,2,4,1,1,1,5,2,1,5,1,2,1,4,4,4,2,2,5,5,1,4,2
5,3,4,1,1,1,1,5,4,4,2,5,1,5,1,1,1,4,2,3,3,4,2,1,2,2,4,4,1,2
4,1,4,2,2,3,2,4,5,5,3,3,3,4,3,3,3,2,3,4,3,5,5,3,5,1,5,2,3,4
2,3,2,4,1,5,5,3,3,4,1,4,2,4,2,4,4,2,4,3,2,3,5,1,5,5,3,4,2,3
1,3,5,2,4,4,4,2,2,3,5,5,3,5,3,2,1,4,4,5,4,1,3,4,3,3,5,4,4,4
3,2,3,5,4,4,1,5,2,5,3,5,5,4,5,4,5,1,1,3,5,4,3,3,4,5,5,1,3,4
2,4,3,5,3,4,1,5,1,2,5,5,3,3,1,5,1,1,3,1,1,4,4,2,4,4,2,4,3,3
5,1,2,2,2,5,4,3,3,5,3,2,1,2,4,3,3,3,5,5,1,1,2,5,3,5,4,3,2,3
2,1,3,2,2,1,4,5,3,3,5,3,4,3,3,3,4,4,3,1,5,5,1,2,5,2,5,4,5,3
1,3,3,5,2,2,1,4,5,1,2,2,5,3,2,2,3,2,1,5,3,2,4,4,1,1,1,4,4,2
4,4,3,3,4,2,5,5,5,5,2,1,3,4,4,2,2,3,5,1,2,2,5,3,1,2,1,3,5,3
3,5,4,5,2,5,2,3,4,2,2,1,1,3,5,2,3,5,4,1,3,1,2,2,4,1,2,2,2,2
4,2,2,3,4,1,5,5,4,3,4,3,2,2,1,5,2,2,5,3,4,2,2,4,3,1,5,3,4,3
2,3,4,5,2,4,5,4,1,1,2,1,4,5,3,3,4,3,3,3,2,1,3,5,1,2,2,5,3,3
3,4,2,4,1,1,5,4,1,3,1,4,4,2,2,2,2,2,2,3,5,4,2,5,2,5,2,3,2,2
4,2,5,1,3,1,5,3,4,5,3,1,2,2,5,5,3,5,2,4,2,2,2,3,2,2,2,1,5,3
2,1,3,5,2,5,4,4,2,1,2,5,4,4,5,2,2,5,3,2,2,5,1,1,4,1,1,5,3,3
4,3,1,1,4,1,3,2,2,5,4,4,2,2,4,1,2,4,4,1,4,3,2,4,5,3,2,2,3,2
1,3,1,1,3,4,5,1,2,3,3,5,4,3,1,1,1,4,2,2,4,5,3,5,4,4,5,1,4,2
5,5,3,4,5,5,5,5,2,4,3,5,5,5,3,3,1,4,3,3,4,5,1,3,4,5,4,4,5,5
5,4,2,3,4,1,4,3,5,2,5,3,3,4,3,5,1,4,5,2,2,3,4,5,4,4,3,4,2,4
3,1,1,5,5,3,1,1,1,4,2,2,5,5,4,2,3,2,5,1,4,3,4,3,1,4,4,3,2,2
2,3,2,2,2,1,5,2,1,1,5,3,2,3,1,2,2,5,1,3,4,5,3,2,2,2,4,2,4,2
4,5,2,5,3,4,4,5,3,4,2,3,3,4,4,1,5,4,1,5,4,1,3,5,2,5,3,2,2,4
3,4,5,1,5,3,1,5,2,4,4,1,2,4,2,1,1,5,1,1,3,1,4,3,4,3,4,4,3,3
1,2,1,1,2,2,1,2,3,1,2,1,1,1,3,4,4,4,4,5,2,4,5,3,5,1,5,3,2,1
1,4,3,2,2,5,3,1,2,1,4,5,5,4,4,3,4,1,3,3,1,3,4,2,3,2,2,1,2,3
5,5,4,4,4,3,3,4,4,3,3,3,2,2,1,3,4,4,5,1,4,4,3,2,2,4,5,4,3,4
4,1,4,1,5,5,3,2,4,4,4,3,2,1,2,3,3,3,2,5,2,5,2,3,4,2,2,2,5,3
1,3,4,4,3,1,1,3,5,1,5,4,1,2,2,5,3,2,2,3,1,2,1,4,4,3,1,2,5,2
2,1,1,5,1,3,5,4,3,2,1,1,5,1,1,5,3,2,4,3,5,3,4,5,3,2,5,2,1,2
3,5,1,5,5,5,3,2,3,1,5,4,3,3,4,3,5,5,5,4,4,2,1,3,5,1,3,1,3,4
1,4,5,4,4,2,3,1,2,3,4,1,5,3,5,3,3,4,5,1,3,1,3,5,5,2,2,3,2,3
1,2,3,3,5,3,2,4,4,3,3,2,5,5,1,2,2,5,1,2,2,3,2,3,4,5,1,1,1,2
5,4,3,4,3,2,3,4,1,4,3,1,2,3,2,2,4,3,3,4,1,2,1,5,1,5,1,2,4,3
5,1,2,5,2,2,4,1,5,5,5,2,1,3,2,5,4,5,4,4,1,1,1,3,2,5,1,5,4,3
1,1,2,2,2,3,1,1,4,5,2,5,2,2,1,3,3,4,1,1,3,1,1,4,5,3,1,5,3,1
4,1,3,1,4,2,5,1,4,1,4,3,5,4,2,1,3,3,1,3,2,2,1,2,2,1,3,2,1,2
3,1,5,3,5,5,5,3,3,4,1,5,2,1,2,2,1,4,1,5,3,4,2,1,1,4,4,2,2,3
5,5,3,2,2,3,3,1,1,3,4,1,3,1,2,4,2,2,5,1,1,5,3,1,3,3,2,3,4,2
2,5,3,5,1,2,4,5,2,5,1,3,2,3,5,4,4,2,5,3,4,4,4,4,3,4,5,2,3,4
1,2,4,4,2,3,5,1,1,2,4,2,5,5,3,2,1,5,5,3,3,4,4,1,4,5,4,3,3,3
2,4,2,2,2,2,2,1,4,3,5,1,4,1,3,3,3,4,5,2,5,1,2,2,5,1,2,3,5,2
3,5,4,4,4,1,3,3,2,1,1,4,4,2,4,4,5,5,5,1,4,2,3,4,4,3,5,1,1,3
1,5,3,3,4,3,3,1,1,5,3,1,2,2,2,2,4,1,2,3,3,5,5,2,3,1,4,1,1,2
4,1,3,1,4,4,3,5,3,1,1,2,2,2,2,3,1,4,2,4,3,5,3,2,3,4,3,3,3,2
2,2,5,4,1,5,4,1,4,3,5,3,3,2,2,4,5,5,4,4,3,2,4,2,2,5,3,2,5,3
5,2,3,3,4,5,3,4,3,5,3,2,3,5,4,1,1,3,5,3,3,4,3,5,4,4,4,4,1,4
3,1,3,1,3,2,1,1,3,1,5,4,4,1,4,4,2,1,3,4,1,1,2,3,3,3,2,1,1,1
1,4,4,3,1,3,5,2,3,3,2,3,3,3,4,3,1,1,3,5,1,1,4,3,2,2,4,3,4,2
2,3,5,2,2,1,4,1,2,4,1,5,3,2,3,4,3,5,5,2,4,2,5,2,2,4,4,1,3,3
2,4,3,5,5,4,4,5,1,4,4,1,5,4,2,3,3,5,5,5,4,1,5,1,1,1,5,3,2,4
1,3,4,5,3,4,5,5,2,5,3,5,1,1,5,4,1,5,1,4,2,1,5,5,1,1,4,1,4,3
5,4,2,1,4,1,3,3,4,2,4,4,2,2,1,3,2,1,3,3,1,1,1,4,2,1,1,5,2,2
4,3,1,2,1,4,2,3,1,5,2,3,5,4,4,5,1,5,3,3,2,4,5,4,1,3,4,2,4,3
4,1,3,1,3,2,5,5,3,3,4,4,4,4,5,5,1,3,3,3,3,4,3,2,3,5,2,1,5,3
1,4,5,2,2,2,1,1,1,3,3,1,5,4,1,5,1,3,3,3,5,5,2,3,5,4,5,3,2,2
3,5,5,4,4,3,2,3,3,5,3,4,1,4,3,5,3,3,1,5,4,5,1,2,5,1,3,3,5,4
5,5,2,3,4,5,1,5,2,1,4,4,1,1,5,5,1,5,5,5,2,3,5,5,4,1,1,2,1,4
1,1,4,3,3,5,3,3,2,3,1,3,5,3,2,4,5,3,2,4,1,5,2,2,4,1,2,1,2,3
3,1,2,4,5,1,4,1,3,5,4,2,2,4,5,2,1,3,4,3,5,5,4,1,5,4,2,3,5,3
5,3,1,4,4,1,5,2,5,3,2,1,1,4,2,5,2,5,5,1,4,5,2,1,5,3,1,5,4,3
1,2,1,5,1,4,3,3,5,5,1,1,1,4,3,1,2,3,4,2,5,5,4,3,5,4,3,3,5,3
3,1,5,1,4,4,3,1,3,5,2,4,5,5,3,2,4,3,4,4,4,2,4,3,5,4,5,5,5,4
4,3,1,2,3,4,3,3,1,4,3,1,2,5,1,3,3,1,1,5,3,2,1,3,4,4,1,4,5,2
2,1,5,3,4,2,2,2,2,3,1,5,3,5,3,2,3,1,5,4,1,3,3,2,1,4,2,3,2,2
4,1,2,3,3,4,1,3,4,2,1,5,4,4,4,4,4,3,1,3,2,4,3,5,3,3,5,3,2,3
2,5,4,1,3,2,4,1,4,4,2,1,4,2,5,4,5,3,5,1,2,1,4,3,2,2,4,1,3,3
4,2,2,2,3,2,2,3,1,3,1,1,2,2,1,5,2,5,5,5,5,1,2,4,3,1,3,5,5,2
2,2,2,2,2,2,3,1,2,2,1,5,4,5,3,1,5,3,4,2,3,3,2,3,4,1,1,5,3,2
5,4,4,5,4,2,3,2,2,4,1,4,3,2,1,4,5,4,3,4,3,2,2,2,5,4,1,5,1,3
3,1,2,4,5,5,5,2,1,5,5,2,1,4,1,1,5,3,1,4,2,3,5,2,4,5,3,5,3,3
3,5,4,5,4,4,2,2,5,4,2,2,4,1,1,4,2,4,3,5,3,5,5,2,5,4,1,1,2,4
1,2,5,3,1,3,2,5,1,4,3,1,4,3,4,4,4,3,1,1,3,2,4,3,5,1,2,4,1,2
2,4,3,4,3,5,5,5,1,3,1,2,2,4,3,5,2,4,4,5,2,4,1,3,3,5,4,5,5,4
3,4,1,3,1,4,5,4,5,2,5,3,4,4,4,2,4,4,5,3,3,3,1,1,1,4,3,5,4,4
1,1,2,5,1,1,1,3,5,4,3,1,2,3,2,4,5,2,2,1,4,3,2,2,1,3,4,2,1,1
3,4,2,2,1,4,5,4,3,4,2,1,2,4,4,5,5,2,1,2,5,5,1,1,3,4,5,4,2,3
1,4,3,5,3,3,2,1,5,5,1,4,2,3,5,5,1,2,5,5,1,5,3,3,1,4,4,4,4,3
5,5,4,5,4,4,3,4,1,3,3,5,1,4,1,5,5,2,5,3,5,4,1,2,3,2,1,5,5,4
3,2,1,5,2,1,2,3,4,2,5,4,5,2,4,2,4,4,2,5,5,5,2,4,1,1,5,1,5,3
3,2,1,4,4,3,5,2,3,2,3,1,3,3,3,3,4,3,2,2,4,5,4,4,5,5,3,1,4,3
4,2,5,5,2,3,1,1,2,2,2,1,3,4,2,3,2,4,4,5,1,5,2,1,4,1,1,5,2,2
3,2,1,1,1,3,3,1,2,2,3,5,4,5,1,2,4,2,5,3,2,5,3,5,3,1,4,1,4,2
3,4,5,3,5,1,1,5,3,3,1,2,4,5,5,3,3,1,1,3,3,1,3,4,5,5,2,2,5,3
4,2,4,1,3,2,5,1,5,2,1,4,4,1,1,1,3,1,4,1,4,5,4,5,5,1,2,4,2,2
4,4,5,2,2,1,2,2,3,3,5,4,4,1,3,4,2,3,4,4,5,3,2,2,4,3,3,1,3,3
2,3,5,4,3,5,5,3,4,2,5,2,2,1,5,2,5,1,3,3,3,1,1,2,3,4,3,2,2,3
4,3,5,3,3,1,1,5,2,3,3,1,3,2,1,3,3,1,3,4,2,5,4,4,1,4,2,4,5,3
2,2,1,4,4,3,1,2,3,5,1,2,4,2,5,5,2,4,4,4,1,1,2,1,2,4,3,2,1,2
2,3,4,2,2,3,1,2,1,3,3,3,4,2,5,5,1,5,1,2,3,1,2,1,3,5,5,2,3,2
3,3,4,5,3,1,5,5,2,3,5,3,3,5,5,3,1,3,4,2,3,4,1,3,4,2,3,4,1,4
4,2,2,4,1,1,3,5,1,4,1,3,3,3,1,4,2,4,4,3,2,4,5,5,5,2,3,2,5,3
5,5,1,2,4,4,2,1,1,4,3,3,5,1,4,2,5,5,3,2,2,1,5,1,3,3,4,5,3,3
4,3,3,1,2,3,1,2,3,3,5,5,4,1,3,4,3,3,3,3,3,1,3,2,4,5,3,2,5,3
4,3,1,1,2,2,4,3,5,3,5,3,2,4,3,2,3,4,2,4,5,3,2,3,5,1,5,3,5,3
4,4,5,1,3,1,2,1,4,4,4,1,2,4,5,5,1,3,1,5,1,5,1,1,5,3,3,4,2,3
4,3,2,2,1,2,3,1,1,4,3,1,4,4,1,2,2,4,1,5,2,1,5,1,1,5,3,3,4,1
4,4,1,3,2,5,3,1,5,2,2,5,4,5,4,5,1,3,2,2,2,2,3,5,4,2,3,3,2,3
3,4,2,3,4,3,2,3,4,2,3,4,2,2,5,2,3,1,5,3,4,4,2,2,4,5,1,5,5,3
1,1,4,5,2,4,5,2,2,5,2,3,3,3,2,4,4,2,3,1,2,5,3,4,5,4,4,4,3,3
4,2,5,1,5,5,1,4,5,3,2,5,3,1,2,4,3,2,4,1,2,3,1,2,5,5,5,2,1,3
5,2,4,1,4,3,5,1,3,5,2,4,1,4,2,3,5,4,3,1,2,5,2,4,3,2,4,2,2,3
3,4,5,4,4,4,2,2,3,4,4,1,4,2,5,4,5,4,3,1,2,5,2,1,2,3,4,5,5,4
3,3,5,1,3,3,4,5,4,4,4,3,2,2,4,4,2,5,5,4,2,5,2,3,5,3,2,1,2,4
4,4,2,1,4,1,1,3,3,2,2,2,2,1,1,2,1,2,3,1,4,4,3,4,5,1,1,2,4,1
5,5,3,3,3,1,3,3,2,4,5,2,5,1,5,4,2,4,2,4,1,2,2,1,2,4,4,3,1,3
2,5,2,1,3,1,2,5,2,4,3,2,4,3,2,2,5,1,5,3,5,2,3,4,2,2,3,4,2,2
4,4,1,5,1,4,3,4,4,4,4,5,4,5,3,2,2,4,3,1,2,5,4,4,1,1,2,5,3,3
4,3,3,4,5,3,3,5,2,5,3,5,3,4,2,4,2,4,4,3,3,2,4,3,3,1,1,1,5,4
5,1,1,4,3,2,4,2,1,2,5,4,1,3,5,5,4,1,2,2,1,1,2,3,2,3,2,1,5,2
3,2,5,5,5,1,4,5,5,2,5,3,3,3,4,1,3,5,3,2,1,3,4,3,5,4,3,1,3,4
1,4,1,5,2,3,1,2,5,2,3,5,4,1,2,2,2,2,3,2,2,3,2,2,3,5,3,3,5,2
4,2,2,3,3,1,1,2,5,4,5,1,3,3,3,3,2,1,5,5,1,3,3,4,5,3,4,5,5,3
2,5,3,1,4,5,2,3,2,1,5,1,3,1,4,5,4,4,5,5,5,2,3,5,2,4,1,5,4,3
4,5,2,3,5,1,5,2,3,3,4,5,2,1,3,4,4,4,2,5,1,1,1,5,1,4,5,4,5,3
1,3,3,4,4,3,2,1,3,2,3,4,3,3,1,4,3,1,2,4,5,3,5,1,2,5,1,4,2,2
2,3,2,5,5,3,3,1,2,1,5,2,2,5,4,4,1,3,3,2,4,5,2,2,2,5,1,5,4,3
3,3,5,4,2,1,4,1,1,5,3,4,2,1,1,2,1,3,2,3,3,2,3,1,2,5,5,3,5,2
3,1,5,3,4,4,2,4,3,2,2,4,2,1,5,2,4,4,5,4,4,5,5,1,4,1,5,1,2,3
1,4,1,1,3,5,3,3,4,3,2,3,1,2,4,2,1,1,5,2,1,4,3,3,5,2,3,4,4,2
2,4,4,1,1,4,1,5,1,5,4,3,2,2,4,4,2,3,5,2,4,1,5,1,2,3,2,1,4,2
1,5,1,2,5,1,1,4,1,5,3,5,2,1,5,4,5,2,3,3,3,2,2,4,1,2,2,1,1,2
3,1,2,3,5,1,3,1,3,3,4,3,5,1,1,1,2,1,1,2,5,5,1,5,2,3,2,3,4,2
4,3,4,4,1,2,1,4,3,4,3,2,1,5,2,1,2,5,2,5,3,5,4,1,3,3,2,3,1,3
4,5,1,3,4,1,2,2,1,5,3,4,3,5,5,4,2,3,5,3,3,1,5,4,2,3,3,1,5,3
5,5,2,2,1,4,2,5,5,1,5,1,3,3,5,4,5,3,5,5,5,3,2,5,4,5,3,5,4,4
4,1,3,4,4,5,2,2,5,5,1,2,5,1,4,1,1,4,4,3,5,2,3,4,4,2,4,3,3,3
5,2,4,5,4,5,3,2,5,4,2,2,2,5,1,4,3,1,4,4,4,3,2,1,1,2,4,1,5,3
3,2,5,1,5,2,2,3,5,2,5,2,2,4,4,2,1,2,3,1,1,5,1,3,4,2,3,1,4,2
4,5,5,2,1,2,1,3,1,5,4,2,5,4,3,1,2,3,4,2,4,2,2,3,1,3,2,2,4,3
2,4,4,4,2,5,2,2,5,2,4,1,4,5,4,3,5,2,2,1,4,4,4,4,1,4,4,2,3,3
5,3,4,3,4,4,4,4,5,2,5,4,3,2,3,4,2,2,5,3,4,1,1,5,1,4,5,3,5,4
3,5,2,3,2,4,1,5,1,2,3,1,3,5,5,1,3,3,1,4,3,4,2,2,4,4,1,2,3,3
5,2,2,5,4,5,4,5,1,2,2,1,4,4,1,1,1,3,3,2,5,2,3,3,2,5,5,1,3,3
1,3,4,3,2,2,2,2,2,4,1,1,3,4,2,2,4,2,4,1,1,3,2,4,3,2,1,1,4,1
2,3,5,5,2,1,4,4,2,3,1,4,4,2,3,2,1,1,5,3,1,1,2,5,2,5,3,4,4,3
1,1,5,5,1,4,5,5,2,5,4,5,1,4,1,2,1,3,5,4,2,3,2,4,2,1,3,5,3,3
2,1,5,4,1,1,1,2,5,1,5,1,4,2,5,3,2,2,5,3,2,4,3,4,3,1,1,1,3,2
3,4,5,1,5,5,4,3,1,1,1,4,3,1,1,1,4,4,4,1,1,1,4,4,2,1,2,5,1,2
4,3,1,5,3,4,1,2,4,4,1,4,5,4,2,5,4,1,1,5,2,1,3,3,3,4,5,4,1,3
1,1,2,2,5,2,1,5,2,5,4,5,5,1,4,3,4,4,3,2,5,4,5,2,5,2,3,5,2,3
2,5,5,2,2,2,1,3,2,5,1,4,3,4,1,3,4,2,5,3,2,1,1,3,3,5,4,1,3,2
3,1,4,3,1,3,4,2,2,1,2,5,4,1,3,1,3,1,4,3,4,3,2,2,2,3,3,4,1,2
2,5,5,5,2,1,1,1,5,5,5,4,2,3,5,5,3,5,2,3,5,2,4,3,2,2,4,3,2,3
4,1,1,5,4,3,1,3,3,3,1,3,3,2,1,5,4,4,4,4,1,3,5,2,5,1,2,2,4,2
1,2,4,2,5,5,2,3,2,2,4,2,1,2,5,2,2,4,1,2,1,5,5,4,2,4,4,5,1,2
4,1,3,5,1,1,5,1,4,3,2,5,5,2,1,1,1,5,3,4,2,5,4,4,3,4,3,2,3,3
2,5,4,4,4,3,5,2,3,1,2,3,3,5,4,3,3,4,4,2,3,3,1,5,3,2,4,4,5,3
1,3,1,3,3,3,5,3,3,1,2,5,3,5,3,3,3,3,1,1,3,3,3,3,2,4,4,1,3,2
4,4,2,5,4,3,4,5,2,1,3,1,5,5,4,5,1,4,3,2,2,3,4,1,4,5,1,5,4,4
2,4,4,4,1,1,4,2,2,3,4,1,5,3,1,1,5,1,3,4,3,2,1,4,3,1,1,3,1,2
2,1,4,4,4,1,2,2,4,5,2,4,3,5,1,5,3,2,1,5,5,1,3,4,3,1,2,2,2,3
5,2,4,5,4,4,1,1,4,4,4,3,3,1,2,3,1,1,1,2,5,4,5,2,3,5,2,4,4,3
5,5,4,3,5,4,2,4,3,2,3,4,5,3,1,5,3,2,4,2,2,5,5,3,2,5,1,4,3,4
5,3,5,1,4,1,4,1,5,4,1,5,2,3,1,1,2,3,3,5,1,4,1,2,1,1,3,5,4,2
5,3,1,2,5,1,1,5,1,5,4,4,3,1,3,5,5,3,5,4,1,4,4,3,4,5,3,2,5,3
5,4,4,1,3,1,3,5,2,5,1,1,5,1,4,4,2,1,2,1,4,5,5,5,4,5,4,4,5,3
2,3,5,2,2,1,2,3,5,1,4,4,5,4,1,3,5,5,4,5,4,1,5,1,2,2,4,1,4,3
5,4,2,5,2,4,3,1,1,1,5,5,3,5,1,5,2,1,4,2,2,4,2,4,1,1,2,4,2,3
1,4,3,3,2,1,1,4,1,2,5,2,4,2,5,5,3,4,3,5,2,5,4,4,2,5,4,5,5,3
1,5,5,2,5,3,2,2,2,1,4,4,4,3,2,4,5,1,2,5,5,5,1,3,1,5,3,2,1,3
4,5,5,5,5,4,5,5,3,4,5,1,4,2,1,1,1,5,4,1,4,4,3,4,5,3,4,3,2,4
5,3,4,4,4,4,4,3,4,3,2,4,5,4,4,5,2,1,2,4,5,3,4,1,4,4,3,4,3,4
3,4,4,2,2,3,2,2,2,2,3,3,4,2,5,3,4,1,1,3,2,3,1,3,4,4,2,2,3,2
3,4,2,4,5,2,5,2,2,4,4,3,2,1,5,5,5,3,5,3,1,1,2,2,5,2,4,2,4,3
3,1,3,1,5,4,5,5,2,4,1,5,4,4,5,5,5,1,1,5,2,3,1,4,5,5,3,4,3,4
3,3,5,2,3,4,3,1,2,4,4,4,5,4,3,2,2,5,3,4,1,1,2,1,4,4,3,2,3,3
1,3,1,1,1,1,3,3,4,3,1,1,4,5,2,2,2,2,2,3,4,4,5,2,3,2,1,2,2,1
3,1,4,5,5,1,1,5,5,3,2,3,3,5,3,1,4,4,2,1,1,5,3,3,5,1,2,5,3,3
1,4,1,4,4,5,3,2,5,3,4,1,4,3,2,4,1,4,5,3,1,3,3,3,2,4,2,3,3,3
4,4,5,4,4,5,2,2,3,3,4,1,1,4,5,2,2,3,3,1,3,5,4,5,4,5,2,1,1,4
5,4,2,5,2,3,2,1,2,2,3,1,2,3,2,4,4,5,5,2,4,4,3,4,1,2,5,5,1,3
3,2,1,1,3,4,3,2,4,4,5,2,2,3,3,3,5,1,3,3,2,4,5,3,1,1,3,4,2,2
2,5,1,1,1,5,3,1,2,5,4,2,2,1,4,1,2,2,4,4,4,2,2,2,1,4,3,3,5,2
1,5,4,2,4,4,2,2,5,1,1,4,5,3,1,3,2,5,4,2,4,4,4,2,3,1,3,2,3,3
5,5,3,4,1,3,4,4,5,3,5,5,3,1,2,4,3,5,5,1,5,2,5,3,3,1,1,3,3,4
3,1,3,1,1,3,4,4,5,5,2,4,1,5,2,4,5,4,5,1,1,4,3,1,4,1,5,1,3,3
5,3,4,4,5,3,5,3,5,4,1,4,5,1,5,1,5,4,1,4,1,3,5,2,1,3,2,1,3,4
2,1,2,1,5,5,2,5,3,5,1,2,4,2,5,3,3,3,4,1,4,4,5,5,4,3,3,2,5,3
2,3,1,2,2,3,3,4,3,1,3,1,5,4,2,2,1,2,1,5,1,4,3,2,5,1,5,4,4,2
5,3,2,1,5,3,5,2,5,5,2,3,4,2,1,2,3,1,2,5,1,1,3,1,1,1,1,5,1,2
3,4,4,4,2,5,1,1,5,1,1,1,1,1,3,4,1,5,1,4,5,3,3,1,2,5,2,1,4,2
4,1,1,1,1,4,1,4,1,5,4,2,3,1,1,3,1,4,2,1,3,3,4,1,3,5,2,5,4,1
3,5,5,2,5,1,1,1,2,5,4,4,1,3,2,3,2,2,5,3,3,1,4,3,2,4,1,3,5,2
3,1,2,1,3,2,1,4,1,2,5,1,2,2,3,2,5,1,5,3,1,1,1,2,2,4,2,4,2,1
2,2,2,5,2,2,5,4,1,5,1,1,3,4,1,4,1,4,1,3,4,2,4,4,4,2,4,4,2,3
4,5,5,4,4,5,2,4,1,2,5,2,5,3,2,1,3,3,3,1,2,1,2,5,1,4,1,3,5,3
2,1,3,2,5,5,4,4,4,4,3,5,2,1,4,4,5,2,3,3,2,4,3,4,3,2,5,3,4,4
3,2,5,2,5,3,1,1,5,3,2,5,4,4,4,1,1,4,1,4,1,2,4,4,4,4,1,5,2,3
